date,close
1-Jan-95,2679.487427
1-Feb-95,2753.164978
1-Mar-95,2823.107422
1-Apr-95,2901.429932
1-May-95,2979.569946
1-Jun-95,3059.907532
1-Jul-95,3144.179993
1-Aug-95,3177.540039
1-Sep-95,3262.127503
1-Oct-95,3290.122559
1-Nov-95,3356.152466
1-Dec-95,3459.512451
1-Jan-96,3524.172425
1-Feb-96,3636.88501
1-Mar-96,3654.785034
1-Apr-96,3683.57251
1-May-96,3746.880005
1-Jun-96,3795.465027
1-Jul-96,3706.542542
1-Aug-96,3714.735047
1-Sep-96,3796.130005
1-Oct-96,3936.547546
1-Nov-96,4083.17749
1-Dec-96,4148.684998
1-Jan-97,4239.647461
1-Feb-97,4398.1427
1-Mar-97,4340.88501
1-Apr-97,4290.687378
1-May-97,4533.434815
1-Jun-97,4789.900025
1-Jul-97,5078.084961
1-Aug-97,5095.375122
1-Sep-97,5171.477417
1-Oct-97,5180.174927
1-Nov-97,5211.555054
1-Dec-97,5354.407593
1-Jan-98,5348.669922
1-Feb-98,5630.405029
1-Mar-98,5901.9375
1-Apr-98,6086.369995
1-May-98,6063.637451
1-Jun-98,6024.199952
1-Jul-98,6124.542359
1-Aug-98,5506.215088
1-Sep-98,5322.974976
1-Oct-98,5429.927612
1-Nov-98,5966.172607
1-Dec-98,6134.667603
1-Jan-99,6309.052613
1-Feb-99,6240.534912
1-Mar-99,6315.637573
1-Apr-99,6575.669922
1-May-99,6692.670044
1-Jun-99,6706.494995
1-Jul-99,6784.609985
1-Aug-99,6558.354981
1-Sep-99,6402.947632
1-Oct-99,6396.022461
1-Nov-99,6662.137573
1-Dec-99,6779.90503
1-Jan-00,6668.929932
1-Feb-00,6406.440064
1-Mar-00,6577.152466
1-Apr-00,6810.829956
1-May-00,6823.650024
1-Jun-00,6857.167359
1-Jul-00,6856.482544
1-Aug-00,6993.755005
1-Sep-00,7063.359864
1-Oct-00,6937.374878
1-Nov-00,6836.257568
1-Dec-00,6802.159912
1-Jan-01,6895.157471
1-Feb-01,6828.194947
1-Mar-01,6414.052491
1-Apr-01,6433.690064
1-May-01,6816.59253
1-Jun-01,6694.757446
1-Jul-01,6528.219971
1-Aug-01,6369.324951
1-Sep-01,5887.320068
1-Oct-01,5807.672607
1-Nov-01,6025.492432
1-Dec-01,6155.867554
1-Jan-02,6160.625
1-Feb-02,6056.234986
1-Mar-02,6310.459961
1-Apr-02,6183.967529
1-May-02,6085.867432
1-Jun-02,5750.630005
1-Jul-02,5219.797607
1-Aug-02,5138.330078
1-Sep-02,4915.409912
1-Oct-02,4854.954956
1-Nov-02,5128.050049
1-Dec-02,5104.335083
1-Jan-03,5009.965088
1-Feb-03,4772.369995
1-Mar-03,4709.005005
1-Apr-03,4935.762451
1-May-03,5268.202515
1-Jun-03,5528.739868
1-Jul-03,5542.420044
1-Aug-03,5582.920044
1-Sep-03,5694.11499
1-Oct-03,5807.63501
1-Nov-03,6008.76001
1-Dec-03,6269.875
1-Jan-04,6533.527466
1-Feb-04,6635.732544
1-Mar-04,6613.532593
1-Apr-04,6545.314942
1-May-04,6425.869995
1-Jun-04,6540.080078
1-Jul-04,6471.029907
1-Aug-04,6384.097534
1-Sep-04,6527.267456
1-Oct-04,6618.45752
1-Nov-04,6864.98999
1-Dec-04,7123.882569
1-Jan-05,7148.03003
1-Feb-05,7215.990112
1-Mar-05,7252.41748
1-Apr-05,7085.152466
1-May-05,7058.287476
1-Jun-05,7208.594849
1-Jul-05,7349.61499
1-Aug-05,7481.140015
1-Sep-05,7567.14502
1-Oct-05,7482.532593
1-Nov-05,7564.397339
1-Dec-05,7728.120117
1-Jan-06,7936.170044
1-Feb-06,8059.015015
1-Mar-06,8144.742676
1-Apr-06,8344.994995
1-May-06,8321.779907
1-Jun-06,8095.682495
1-Jul-06,8124.927612
1-Aug-06,8293.009888
1-Sep-06,8393.897461
1-Oct-06,8626.752686
1-Nov-06,8856.100098
1-Dec-06,9045.489746
1-Jan-07,9155.420166
1-Feb-07,9216.485108
1-Mar-07,9137.792725
1-Apr-07,9472.832764
1-May-07,9799.295166
1-Jun-07,9905.492432
1-Jul-07,9791.679932
1-Aug-07,9440.287598
1-Sep-07,9773.034912
1-Oct-07,10140.59497
1-Nov-07,9965.704834
1-Dec-07,9802.847412
1-Jan-08,9247.915039
1-Feb-08,9042.207275
1-Mar-08,8785.137451
1-Apr-08,9071.252441
1-May-08,9408.270019
1-Jun-08,9015.32251
1-Jul-08,8470.632568
1-Aug-08,8381.467529
1-Sep-08,7879.559937
1-Oct-08,6579.714966
1-Nov-08,5654.864991
1-Dec-08,5566.074951
1-Jan-09,5497.255005
1-Feb-09,4983.459961
1-Mar-09,4752.577393
1-Apr-09,5255.819946
1-May-09,5754.564941
1-Jun-09,5961.624878
1-Jul-09,6084.327393
1-Aug-09,6545.337524
1-Sep-09,6773.712524
1-Oct-09,6881.422607
1-Nov-09,6947.797486
1-Dec-09,7142.005005
1-Jan-10,7102.319946
1-Feb-10,6915.464966
1-Mar-10,7253.944825
1-Apr-10,7525.867554
1-May-10,7069.45752
1-Jun-10,6701.049927
1-Jul-10,6729.255005
1-Aug-10,6873.685059
1-Sep-10,7016.609985
1-Oct-10,7412.469971
1-Nov-10,7536.785034
1-Dec-10,7702.127564
1-Jan-11,8058.762451
1-Feb-11,8309.304932
1-Mar-11,8296.794922
1-Apr-11,8490.070068
1-May-11,8518.902588
1-Jun-11,8293.685058
1-Jul-11,8226.602417
1-Aug-11,7678.949951
1-Sep-11,7136.517456
1-Oct-11,7158.602539
1-Nov-11,7407.217529
1-Dec-11,7421.869873
1-Jan-12,7676.179932
1-Feb-12,8000.11499
1-Mar-12,8142.334839
1-Apr-12,8116.74524
1-May-12,7794.530152
1-Jun-12,7548.742432
1-Jul-12,7788.037598
1-Aug-12,7944.380005
1-Sep-12,8185.084961
1-Oct-12,8280.242676
1-Nov-12,8168.409912
1-Dec-12,8357.102295
1-Jan-13,8745.402588
1-Feb-13,8876.330078
1-Mar-13,8960.899902
1-Apr-13,9135.567383
1-May-13,9353.98999
1-Jun-13,9164.222412
1-Jul-13,9367.44751
1-Aug-13,9456.234863
1-Sep-13,9545.409912
1-Oct-13,9800.777344
1-Nov-13,10083.15259
1-Dec-13,10226.61987
1-Jan-14,10390.76025
1-Feb-14,10149.4126
1-Mar-14,10424.84985
1-Apr-14,10526.6001
1-May-14,10665.65991
1-Jun-14,10873.9624
1-Jul-14,10890.25732
1-Aug-14,10839.4751
1-Sep-14,10886.72241
1-Oct-14,10566.45508
1-Nov-14,10890.65991
1-Dec-14,10785.23022
1-Jan-15,10682.26733
1-Feb-15,10817.25488
1-Mar-15,10931.86523
1-Apr-15,11009.71997
1-May-15,11086.82495
